time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
32.28,0.32689310285890866,22.363298959808905,4.63183409670182,1.2634660889440978,-0.11774724272650025,4.26001450713643,-4.468561961860122,-1.1742921489862845,1.6250199384600643,3.1782714916574886,-0.4676021189510433
32.339999999999996,0.33163627660434886,22.40459058662744,4.633836385716097,1.0452236944686477,0.21965330949475165,4.569014716739336,-3.712038115511279,-0.9614181495196314,1.3610427155218385,2.6838538067686715,-0.21112469503784442
32.4,0.3388758214637442,22.445880200527405,4.703299278310588,0.7169542373461256,0.43039358005407014,4.658732361750468,-2.4223705137427176,-0.22711358403540882,1.3422966738593787,1.766149564099503,0.31821865098598506
32.46,0.34582120824246393,22.487189364565847,4.833929438166071,0.3198850649890967,0.40466735592998615,4.503145632238928,-0.7704418315415418,0.6844003113397362,1.5851357211791495,0.5263922532788046,0.8622738756600833
32.519999999999996,0.3498015159533683,22.528529604590293,5.019289732841443,-0.09371189952467461,0.14456889631680636,4.1068815437441675,1.0287048976514714,1.3744395600790096,2.038073084336566,-0.8852300108790437,1.1029380268435185
32.58,0.34964717652326704,22.56989638292708,5.249251883324419,-0.46667226158125896,-0.2335310448685809,3.5021166872318634,2.7449897179167917,1.5612155886027645,2.6192434131973705,-2.286977210552498,0.863099358467994
32.64,0.3463093878371731,22.611270972751523,5.504961719701032,-0.7446595995585025,-0.554103491901719,2.745307171516561,4.165430588361651,1.19593792308656,3.254344996599484,-3.4942518575115087,0.22586298410527195
32.699999999999996,0.3423866930158794,22.652628781430224,5.756336571725455,-0.8847963284179755,-0.6677488873565528,1.9142900956321358,5.120378043342576,0.4757764505887744,3.886657223623624,-4.347082606164578,-0.5100909039435193
32.76,0.3408267925713585,22.693952413668985,5.964872076704067,-0.863345304096117,-0.5238394109118395,1.098615817164643,5.496322852640212,-0.25692984358611515,4.466219848391192,-4.731811975791963,-0.9994580259220613
32.82,0.3435271019892767,22.73524133635322,6.09202272224918,-0.6796931919468725,-0.1936805793120219,0.394917054617994,5.24332639234597,-0.6637380643787705,4.939776313698024,-4.597152643587224,-1.032340076044446
32.879999999999995,0.3505202101294574,22.776511915391534,6.1103413255882835,-0.3558316586109288,0.16650220574026242,-0.08956815110768131,4.382575710970041,-0.5390851089555275,5.25483886876406,-3.961071347695992,-0.624790777484231
32.94,0.36001301024767934,22.817792257055856,6.012183603308582,0.06718387094296606,0.3918074376726362,-0.24557906453056377,3.0043900077449166,0.1110138543726024,5.373823574813831,-2.9072596001108124,0.009338033556047662
33.0,0.36908607950756295,22.859113578502978,5.8121770789454414,0.5356482307840971,0.38546235292712316,-0.02939467102143771,1.2597919663362995,1.0049926217534915,5.288166172395435,-1.5735053170742042,0.5738478929263475
33.06,0.3748934433272233,22.900494812629823,5.54317328595775,0.9927271187991937,0.16255591686756088,0.4811951619732446,-0.6446102891504244,1.654140488869067,5.01712930141188,-0.1318089491794228,0.8213843940355755
33.12,0.3760961563527584,22.9419313110139,5.247037067574605,1.3873811152985978,-0.15715610288755036,1.1466368563493547,-2.465425942280479,1.664741057013175,4.599897315891616,1.2370362764943252,0.6555470231725029
33.18,0.3736054236147557,22.9833997277119,4.963668225316631,1.678790525518494,-0.40637594425109685,1.8413132814486926,-3.963565160824547,0.9947663848268424,4.092673974033845,2.368260658198256,0.17274033520437565
33.24,0.37011273103652825,23.024871971919218,4.723539188424472,1.837462008136627,-0.4500224441206111,2.480242287553583,-4.944105730807185,-0.0236637457025339,3.564002944907596,3.130965277765433,-0.38640060705428414
33.3,0.3686780842260455,23.06632781188541,4.546392687521443,1.8461702650498366,-0.24916230240684656,3.0186806706616145,-5.281050324544269,-0.8740239312305262,3.086753107019075,3.437334556546123,-0.7538905922790716
33.36,0.37112663133480317,23.10776239358152,4.442543615179504,1.7019790935061967,0.11662518315612538,3.423551139655825,-4.93310769981542,-1.1540764811211286,2.7366785287604336,3.2491495854834844,-0.7497162081801896
33.42,0.3771725949165827,23.149186865184838,4.41377158315391,1.4187160516943094,0.48037675416099784,3.655233098477728,-3.9507297066930622,-0.765483166195983,2.590738279847818,2.5826037687231436,-0.3520909025208356
33.48,0.38457428497823376,23.190621186307265,4.45598664593057,1.0280901700053138,0.6655159531177806,3.6762576763284005,-2.467656915355288,0.08154871428277252,2.6956121082602515,1.5094631374498244,0.2620316899098333
33.54,0.3902073759258869,23.232081520175672,4.5632432995763565,0.5777569647401274,0.5752367896187167,3.4697725124760286,-0.6801220870248952,0.9909690549151843,3.032166764823256,0.15653082074763067,0.762633903868712
33.6,0.39165916518899657,23.273570239898184,4.728442459754809,0.1261331149678947,0.24530856594489003,3.048972333457001,1.179469684447531,1.5657313835148845,3.5323488523020816,-1.3037529106512928,0.8514734356292039
33.66,0.38845743853525727,23.315074612506706,4.9389526796681125,-0.26536907514132635,-0.17073056798070574,2.4522866541011354,2.8732667546160884,1.5745530864274517,4.117870831328473,-2.6779794127256067,0.4433144178757335
33.72,0.3823143177186671,23.356571579339334,5.171009786572496,-0.5414302972853471,-0.4765438100971805,1.7407431703862872,4.191089100897761,1.0452577590530148,4.724677700113806,-3.782309506572969,-0.27968045511237016
33.78,0.3762941842147754,23.398036803373586,5.388373584475835,-0.661779700300619,-0.5289163093113836,0.9967122690401516,4.975799418020953,0.24579341172454425,5.3072157176468995,-4.46804203275644,-0.9625337291240803
33.839999999999996,0.3732929784811656,23.439457572232733,5.5477942123194754,-0.6082124784248286,-0.3065643320669947,0.3143602932948699,5.133804733664586,-0.4462697720970352,5.819897195226155,-4.641259672784114,-1.2804190202114678
33.9,0.3746939612615727,23.480840940572406,5.609719180934251,-0.38729311396542887,0.08209713119118493,-0.20606417176171848,4.640015449457108,-0.7060384309551637,6.21007049122139,-4.276760398624871,-1.1035957133191783
33.96,0.3798289230780493,23.522211489611102,5.550033070645976,-0.02864580832593564,0.45457415122455047,-0.4573790287642002,3.5418135834795295,-0.3819533314181746,6.429228845772198,-3.4211812794946073,-0.54032853270703
34.019999999999996,0.3862744763715953,23.563603663198027,5.367823054550499,0.41970984836141406,0.6428866684144006,-0.3642875386210316,1.955409932119559,0.40606691735963146,6.448057399141921,-2.185202944329997,0.1334700991221544
34.08,0.3908627937769345,23.6050482704124,5.085552695190325,0.8994326519428462,0.5712047878385788,0.050620693499317866,0.061316711616977354,1.2517314995441702,6.267328116159394,-0.7277791659220074,0.6129201829770934
34.14,0.3911824540923015,23.64655599033923,4.74243684573121,1.352211525317988,0.289777184015625,0.6768717000182773,-1.9043405575157903,1.669744470721707,5.913861507575608,0.7671468137143288,0.6963451123993449
34.199999999999996,0.3868246044959565,23.688114112314032,4.383622960554933,1.7272560226125935,-0.05000433202982575,1.3869688245720888,-3.683490364891307,1.3969783628947763,5.432796519310843,2.1170288349345836,0.36706822317652055
34.26,0.37962334110137336,23.729697992017663,4.048684828967905,1.9838004979567012,-0.269640628448768,2.082994506600659,-5.042860683168437,0.5517192180246269,4.884286671930782,3.163701772886525,-0.20193765640435857
34.32,0.3727108971954467,23.771284503889813,3.766283149304375,2.0920621930944723,-0.2477192356758524,2.711256126194774,-5.807145750157981,-0.43472584854059815,4.337012609961162,3.7879046380112715,-0.73383396606076
34.379999999999995,0.3688766503874327,23.812861781278322,3.5555222468923624,2.0353443323478504,0.02428952028648436,3.2450273122949596,-5.878891340083552,-1.0744754993045509,3.8631815028101615,3.9175111969710583,-0.975451287344421
34.44,0.36918016502661055,23.8544332413683,3.426547514925338,1.813366614264653,0.43265234841920125,3.6517832519190625,-5.251887825745612,-1.0858525493144766,3.541641139783541,3.5351113305676134,-0.7971334470258516
34.5,0.37248471725472604,23.896014597366,3.380242305794216,1.4457295412461175,0.7873453168204027,3.8874600128345365,-4.01270136470051,-0.5033142318515716,3.45027612844517,2.681171992426224,-0.24769016926156218
34.56,0.3759907429447245,23.937624107225698,3.4111949509859647,0.9725358910173362,0.9124769416302259,3.9177355444364457,-2.326613291006237,0.37574960607426655,3.622550209023074,1.4532243905312416,0.42066755246288634
34.62,0.3766074930964815,23.979269996453162,3.511205577528927,0.4505574463961302,0.7371185630865321,3.735691502109795,-0.41362845070942633,1.147691906628239,4.018366829668323,0.0030768793498821903,0.8406946369561219
34.68,0.37258509487488445,24.020943636265756,3.668898940672215,-0.05376447069475958,0.33557941435869276,3.3612655651255525,1.4807408496934076,1.4803268750825396,4.557310082066692,-1.4790513809756098,0.752356869351673
34.74,0.364462886235431,24.06262193564244,3.865392214240138,-0.47346385345417574,-0.10675254688749763,2.8354261422539806,3.1184182904500073,1.2476465891348876,5.161587689275818,-2.7943423030033006,0.16876729577955207
34.8,0.35485871634599647,24.10427506324163,4.07031537772568,-0.7512646009636784,-0.3839867156312612,2.2211120741047887,4.300714337869054,0.5806425475485486,5.77149279352175,-3.7651599566682354,-0.6276115567943978
34.86,0.3472160936360964,24.14587854272497,4.243076185704138,-0.8491653393174967,-0.36943072804401306,1.6001464913131274,4.888782648231106,-0.19955189964541897,6.336803761614127,-4.2585000816672,-1.243384877959793
34.92,0.3441549540514294,24.187426401311203,4.340192342165677,-0.7550979080785295,-0.0753312658831199,1.0651399201425646,4.811538285870848,-0.7313391345781429,6.802553413504425,-4.204850695422749,-1.3920637550088704
34.98,0.3463295006196873,24.228935386636177,4.3263904210662245,-0.48445170692924944,0.3561807977626062,0.7189069943928057,4.071399533503279,-0.7587025759429038,7.110705052015233,-3.608734656284805,-1.0274859055530876
35.04,0.3522436483348662,24.27043977994855,4.1856059962030825,-0.07715532300669714,0.7250263084820603,0.667758818210013,2.7449003179935403,-0.22967833789321435,7.214607904453835,-2.546868841485152,-0.34098415958893347
35.1,0.35887756067662574,24.311980655969,3.926325738652932,0.4086738642507959,0.8682412967225579,0.9588907278285679,0.9775013090135882,0.6193594796375281,7.09506471869403,-1.1564208418909683,0.34751243101797324
35.16,0.3629786827209737,24.353588258173524,3.579011540622353,0.9070355449234453,0.7335411389492789,1.524791818131238,-1.0203025750218913,1.3137834450539438,6.764456337314039,0.38499828033541483,0.7380253758849034
35.22,0.3626855224295354,24.395267724013674,3.1880798240107775,1.3552443761023087,0.40260444159717196,2.235395615536748,-2.991468964230784,1.4300827948775,6.259720121722337,1.8855821746617643,0.6768796813006454
